Age,y_pred
44.0,56.450497
42.0,37.614796
70.0,79.63056
17.0,41.684025
67.0,52.678055
35.0,53.00636
77.0,80.29641
55.0,63.00894
62.0,56.45709
47.0,43.131336
38.0,36.908195
55.0,55.76543
32.0,45.976448
57.0,52.14432
65.0,65.10252
47.0,23.457912
75.0,82.04646
60.0,73.98962
75.0,50.677464
50.0,66.58779
43.0,45.780125
50.0,52.769604
35.0,38.27621
89.0,80.11667
67.0,56.40747
65.0,72.48243
55.0,57.8027
78.0,72.67173
72.0,81.11993
87.0,67.86079
23.0,30.911749
56.0,73.19456
45.0,60.193233
52.0,54.552895
57.0,76.30459
8.0,13.005838
39.0,50.974285
14.0,15.053794
40.0,28.900705
19.0,15.600553
84.0,65.24994
62.0,71.38128
45.0,51.885036
48.0,55.377728
75.0,67.77427
11.0,16.885206
90.0,67.70428
40.0,38.178802
41.0,57.60778
5.0,9.748982
77.0,70.46829
62.0,73.51408
81.0,74.813385
55.0,45.11082
64.0,70.78188
33.0,38.466843
32.0,44.380474
41.0,50.59293
62.0,71.08184
73.0,44.37572
23.0,33.117043
36.0,42.01331
56.0,67.48254
72.0,76.99007
53.0,61.25043
79.0,71.06202
45.0,54.64356
58.0,63.084766
39.0,32.36108
48.0,56.212563
39.0,37.663296
9.0,15.229017
26.0,23.634176
30.0,26.504797
18.0,14.605108
21.0,16.184168
20.0,19.811842
57.0,70.29037
78.0,82.11923
78.0,68.263725
58.0,68.8904
16.0,12.466976
85.0,75.89667
54.0,69.37089
44.0,42.086876
35.0,44.254246
31.0,29.654272
55.0,55.8062
27.0,30.487318
52.0,48.735455
33.0,43.021297
74.0,75.28419
23.0,20.630182
48.0,50.388424
66.0,60.697453
89.0,81.750565
75.0,78.23188
87.0,72.61617
62.0,37.601208
25.0,25.569847
51.0,44.726547
49.0,56.06558
34.0,39.273266
52.0,43.708305
42.0,57.595116
9.0,17.954544
89.0,77.818954
30.0,40.454494
25.0,43.387608
86.0,78.52671
23.0,26.066727
45.0,42.24403
56.0,63.58014
24.0,22.937479
62.0,59.285873
67.0,69.74768
67.0,54.888157
45.0,35.858963
10.0,15.601216
66.0,71.566414
13.0,15.285062
56.0,53.191048
43.0,55.21415
71.0,67.97738
29.0,15.7086
54.0,39.276966
30.0,41.157
60.0,54.64133
52.0,53.961353
70.0,62.469273
77.0,73.48963
69.0,77.85522
48.0,56.945324
31.0,26.300997
37.0,42.629574
69.0,82.41171
50.0,49.57455
45.0,53.0603
86.0,79.143875
68.0,60.976402
60.0,59.601147
51.0,54.20631
59.0,66.9201
27.0,41.335644
16.0,19.709496
59.0,47.82687
36.0,45.023697
59.0,53.93349
39.0,50.186466
23.0,19.02592
25.0,20.1774
90.0,76.36324
33.0,40.41281
48.0,40.63223
22.0,28.68579
53.0,52.32463
56.0,58.541424
12.0,19.415186
15.0,12.460207
55.0,60.89463
61.0,64.20736
5.0,8.709492
67.0,55.746662
26.0,44.361908
46.0,57.68893
21.0,26.336588
55.0,68.93418
75.0,81.590775
47.0,46.036
57.0,47.29456
73.0,75.88593
82.0,77.18589
42.0,45.41879
31.0,25.72901
60.0,50.621647
78.0,73.39012
32.0,59.247643
63.0,44.403343
52.0,58.687374
11.0,15.385358
71.0,55.253254
80.0,66.58768
26.0,25.389526
11.0,23.85908
21.0,26.453882
56.0,58.200302
57.0,53.76681
4.0,12.915168
52.0,48.841213
42.0,46.256847
78.0,65.86271
35.0,41.21385
29.0,35.920452
78.0,68.47663
44.0,56.633083
45.0,51.0605
40.0,47.3823
66.0,61.544994
89.0,83.45301
36.0,42.345127
42.0,47.48171
47.0,49.21153
48.0,54.94499
70.0,67.912605
64.0,44.95839
46.0,43.037235
59.0,67.38452
65.0,68.22446
16.0,21.100176
91.0,85.186516
64.0,65.28005
32.0,46.3313
38.0,55.133514
62.0,60.081184
81.0,79.43339
44.0,36.168865
89.0,77.710014
60.0,66.12434
61.0,54.293446
80.0,72.89213
62.0,76.8095
81.0,58.978245
55.0,46.45122
63.0,67.18777
92.0,77.60923
49.0,59.347927
60.0,53.62717
57.0,61.93032
69.0,66.84684
70.0,78.99986
48.0,58.26188
29.0,27.340202
84.0,77.40215
57.0,65.89739
66.0,71.85656
44.0,54.12433
60.0,57.326973
87.0,78.76002
60.0,62.550083
44.0,43.650246
66.0,71.03945
5.0,19.642042
28.0,31.729261
71.0,57.18157
45.0,47.286804
23.0,32.78554
82.0,85.13072
81.0,76.55489
48.0,58.25493
84.0,75.35405
47.0,62.6078
36.0,37.03403
11.0,14.781921
26.0,30.20673
42.0,59.1753
88.0,70.760086
62.0,68.24538
59.0,60.767387
30.0,31.705652
34.0,44.702946
79.0,66.57649
60.0,57.096592
71.0,72.94725
51.0,26.08244
49.0,60.548573
55.0,60.417076
72.0,74.00646
43.0,37.69218
42.0,34.823307
85.0,74.941345
66.0,60.801205
43.0,50.22433
54.0,63.221287
83.0,35.773354
34.0,36.220528
49.0,66.45465
81.0,50.46401
10.0,18.86576
24.0,49.908665
59.0,64.12099
87.0,74.79903
20.0,26.63184
58.0,56.86786
46.0,36.06001
52.0,35.06982
18.0,15.552658
22.0,40.854618
3.0,13.512439
35.0,30.979498
29.0,50.57391
29.0,17.933634
12.0,10.49796
79.0,61.083317
44.0,44.54903
73.0,84.03004
65.0,55.36889
45.0,32.678288
40.0,55.063473
84.0,71.50914
39.0,46.4281
21.0,26.532335
17.0,22.95426
19.0,20.195902
35.0,51.43145
78.0,63.766994
52.0,56.758793
41.0,53.472637
38.0,46.10993
58.0,66.08692
51.0,51.612614
40.0,29.922966
33.0,54.929073
42.0,28.549223
70.0,76.67277
65.0,65.80917
72.0,70.607254
56.0,54.422306
46.0,42.110657
40.0,33.936676
74.0,76.18818
65.0,73.67303
34.0,34.73297
31.0,47.718464
72.0,64.97808
27.0,27.865818
45.0,44.981823
30.0,17.613
41.0,47.393894
32.0,25.726568
67.0,73.40893
77.0,81.79322
60.0,74.24867
67.0,60.39253
23.0,22.77471
54.0,47.230526
36.0,33.923557
31.0,22.992857
79.0,75.273476
68.0,73.60398
